Date,Price,Open,High,Low,Vol.,Change %
5/10/2006,1322.85,"1,324.57","1,325.51","1,317.44",-,-0.17%
5/11/2006,1305.92,"1,322.63","1,322.63","1,303.45",-,-1.28%
5/12/2006,1291.24,"1,305.88","1,305.88","1,290.38",-,-1.12%
5/15/2006,1294.5,"1,291.19","1,294.81","1,284.51",-,0.25%
5/16/2006,1292.08,"1,294.50","1,297.88","1,288.51",-,-0.19%
5/17/2006,1270.32,"1,291.73","1,291.73","1,267.31",-,-1.68%
5/18/2006,1261.81,"1,270.25","1,274.89","1,261.75",-,-0.67%
5/19/2006,1267.03,"1,261.81","1,272.15","1,256.28",-,0.41%
5/22/2006,1262.07,"1,267.03","1,268.77","1,252.98",-,-0.39%
5/23/2006,1256.58,"1,262.06","1,273.67","1,256.15",-,-0.43%
5/24/2006,1258.57,"1,256.56","1,264.53","1,245.34",-,0.16%
5/25/2006,1272.88,"1,258.41","1,273.26","1,258.41",-,1.14%
5/26/2006,1280.16,"1,272.71","1,280.54","1,272.50",-,0.57%
5/30/2006,1259.87,"1,280.04","1,280.04","1,259.87",-,-1.58%
5/31/2006,1270.09,"1,259.38","1,270.09","1,259.38",-,0.81%
6/1/2006,1285.71,"1,270.05","1,285.71","1,269.19",-,1.23%
6/2/2006,1288.22,"1,285.71","1,290.68","1,280.22",-,0.20%
6/5/2006,1265.29,"1,288.16","1,288.16","1,264.66",-,-1.78%
6/6/2006,1263.85,"1,265.23","1,269.88","1,254.46",-,-0.11%
6/7/2006,1256.15,"1,263.61","1,272.47","1,255.77",-,-0.61%
6/8/2006,1257.93,"1,256.08","1,259.85","1,235.18",-,0.14%
6/9/2006,1252.3,"1,257.93","1,262.58","1,250.03",-,-0.45%
6/12/2006,1237.44,"1,252.27","1,255.22","1,236.43",-,-1.19%
6/13/2006,1223.69,"1,236.08","1,243.37","1,222.52",-,-1.11%
6/14/2006,1230.04,"1,223.66","1,231.46","1,219.29",-,0.52%
6/15/2006,1256.16,"1,230.01","1,258.64","1,230.01",-,2.12%
6/16/2006,1251.54,"1,256.16","1,256.27","1,246.33",-,-0.37%
6/19/2006,1240.13,"1,251.54","1,255.93","1,237.17",-,-0.91%
6/20/2006,1240.12,"1,240.12","1,249.01","1,238.87",-,0.00%
6/21/2006,1252.2,"1,240.09","1,257.96","1,240.09",-,0.97%
6/22/2006,1245.6,"1,251.92","1,251.92","1,241.53",-,-0.53%
6/23/2006,1244.5,"1,245.59","1,253.13","1,241.43",-,-0.09%
6/26/2006,1250.56,"1,244.50","1,250.92","1,243.68",-,0.49%
6/27/2006,1239.2,"1,250.55","1,253.37","1,238.94",-,-0.91%
6/28/2006,1246,"1,238.99","1,247.06","1,237.59",-,0.55%
6/29/2006,1272.87,"1,245.94","1,272.88","1,245.94",-,2.16%
6/30/2006,1270.2,"1,272.86","1,276.30","1,270.20",-,-0.21%
7/3/2006,1280.19,"1,270.06","1,280.38","1,270.06",-,0.79%
7/5/2006,1270.91,"1,280.05","1,280.05","1,265.91",-,-0.72%
7/6/2006,1274.08,"1,270.58","1,278.32","1,270.58",-,0.25%
7/7/2006,1265.48,"1,274.08","1,275.38","1,263.13",-,-0.67%
7/10/2006,1267.34,"1,265.46","1,274.06","1,264.46",-,0.15%
7/11/2006,1272.43,"1,267.26","1,273.64","1,259.65",-,0.40%
7/12/2006,1258.6,"1,272.39","1,273.31","1,257.29",-,-1.09%
7/13/2006,1242.28,"1,258.58","1,258.58","1,241.43",-,-1.30%
7/14/2006,1236.2,"1,242.29","1,242.70","1,228.45",-,-0.49%
7/17/2006,1234.49,"1,236.20","1,240.07","1,231.49",-,-0.14%
7/18/2006,1236.86,"1,234.48","1,239.86","1,224.54",-,0.19%
7/19/2006,1259.81,"1,236.74","1,261.81","1,236.74",-,1.86%
7/20/2006,1249.13,"1,259.81","1,262.56","1,249.13",-,-0.85%
7/21/2006,1240.29,"1,249.12","1,250.96","1,238.72",-,-0.71%
7/24/2006,1260.91,"1,240.25","1,262.50","1,240.25",-,1.66%
7/25/2006,1268.88,"1,260.91","1,272.39","1,257.19",-,0.63%
7/26/2006,1268.4,"1,268.87","1,273.89","1,261.94",-,-0.04%
7/27/2006,1263.2,"1,268.20","1,275.85","1,261.92",-,-0.41%
7/28/2006,1278.55,"1,263.15","1,280.42","1,263.15",-,1.22%
7/31/2006,1276.66,"1,278.53","1,278.66","1,274.31",-,-0.15%
8/1/2006,1270.92,"1,278.53","1,278.66","1,265.71",-,-0.45%
8/2/2006,1277.41,"1,270.73","1,283.42","1,270.73",-,0.51%
8/3/2006,1280.27,"1,278.22","1,283.96","1,271.25",-,0.22%
8/4/2006,1279.36,"1,280.26","1,292.92","1,273.82",-,-0.07%
8/7/2006,1275.77,"1,279.31","1,279.31","1,273.00",-,-0.28%
8/8/2006,1271.48,"1,275.67","1,282.75","1,268.37",-,-0.34%
8/9/2006,1265.95,"1,271.13","1,283.74","1,264.73",-,-0.43%
8/10/2006,1271.81,"1,265.72","1,272.55","1,261.30",-,0.46%
8/11/2006,1266.74,"1,271.64","1,271.64","1,262.08",-,-0.40%
8/14/2006,1268.21,"1,266.67","1,278.90","1,266.67",-,0.12%
8/15/2006,1285.58,"1,268.19","1,286.23","1,268.19",-,1.37%
8/16/2006,1295.43,"1,285.27","1,296.21","1,285.27",-,0.77%
8/17/2006,1297.48,"1,295.37","1,300.78","1,292.71",-,0.16%
8/18/2006,1302.3,"1,297.48","1,302.30","1,293.57",-,0.37%
8/21/2006,1297.52,"1,302.30","1,302.30","1,295.51",-,-0.37%
8/22/2006,1298.82,"1,297.52","1,302.49","1,294.44",-,0.10%
8/23/2006,1292.99,"1,298.73","1,301.50","1,289.82",-,-0.45%
8/24/2006,1296.06,"1,292.97","1,297.23","1,291.40",-,0.24%
8/25/2006,1295.09,"1,295.92","1,298.88","1,292.39",-,-0.07%
8/28/2006,1301.78,"1,295.09","1,305.02","1,293.97",-,0.52%
